1430684521 || [Thread:12] || INFO || randomly chose 0
1430684521 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684522 || [Thread:12] || INFO || randomly chose 0
1430684522 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684523 || [Thread:12] || INFO || randomly chose 0
1430684523 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684524 || [Thread:12] || INFO || randomly chose 0
1430684524 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684525 || [Thread:12] || INFO || randomly chose 0
1430684525 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684525 || [Thread:1] || INFO || Received PRINTLOG from Master
1430684525 || [Thread:1] || INFO || log printed
1430684526 || [Thread:12] || INFO || randomly chose 0
1430684526 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684527 || [Thread:12] || INFO || randomly chose 0
1430684527 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684528 || [Thread:12] || INFO || randomly chose 0
1430684528 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684529 || [Thread:12] || INFO || randomly chose 0
1430684529 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684530 || [Thread:12] || INFO || randomly chose 0
1430684530 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684531 || [Thread:12] || INFO || randomly chose 0
1430684531 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684532 || [Thread:12] || INFO || randomly chose 0
1430684532 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684533 || [Thread:12] || INFO || randomly chose 0
1430684533 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684534 || [Thread:12] || INFO || randomly chose 0
1430684534 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684535 || [Thread:12] || INFO || randomly chose 0
1430684535 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684536 || [Thread:12] || INFO || randomly chose 0
1430684536 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684537 || [Thread:12] || INFO || randomly chose 0
1430684537 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684538 || [Thread:12] || INFO || randomly chose 0
1430684538 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684539 || [Thread:12] || INFO || randomly chose 0
1430684539 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684540 || [Thread:12] || INFO || randomly chose 0
1430684540 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684541 || [Thread:12] || INFO || randomly chose 0
1430684541 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684542 || [Thread:12] || INFO || randomly chose 0
1430684542 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684543 || [Thread:12] || INFO || randomly chose 0
1430684543 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684544 || [Thread:12] || INFO || randomly chose 0
1430684544 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684545 || [Thread:12] || INFO || randomly chose 0
1430684545 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684546 || [Thread:12] || INFO || randomly chose 0
1430684546 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684547 || [Thread:12] || INFO || randomly chose 0
1430684547 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684548 || [Thread:12] || INFO || randomly chose 0
1430684548 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684549 || [Thread:12] || INFO || randomly chose 0
1430684549 || [Thread:12] || INFO || Tried to send to 0, but currently disconnected
1430684549 || [Thread:1] || INFO || Received CONNECT0 from Master
1430684549 || [Thread:1] || INFO || CONTROL: reconnecting 0 at port 0
1430684550 || [Thread:12] || INFO || randomly chose 0
1430684550 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--2;;;0=2:<2,0>=0:
1430684551 || [Thread:12] || INFO || randomly chose 0
1430684551 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--2;;;0=2:<2,0>=0:
1430684552 || [Thread:12] || INFO || randomly chose 0
1430684552 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--2;;;0=2:<2,0>=0:
1430684553 || [Thread:12] || INFO || randomly chose 0
1430684553 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--2;;;0=2:<2,0>=0:
1430684554 || [Thread:12] || INFO || randomly chose 0
1430684554 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--2;;;0=2:<2,0>=0:
1430684554 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_COMMAND--3~~4~~0~~RETIRE_NODE==0==localhost==0
1430684554 || [Thread:11] || INFO || Can't commit yet: 3~~4~~0~~RETIRE_NODE==0==
1430684554 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_COMMAND--2~~3~~0~~PUT==a==b
1430684554 || [Thread:11] || INFO || Committing: 2~~3~~0~~PUT==a==b
1430684554 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684554 || [Thread:11] || INFO || Committing: 3~~4~~0~~RETIRE_NODE==0==
1430684555 || [Thread:12] || INFO || randomly chose 0
1430684555 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684555 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684556 || [Thread:12] || INFO || randomly chose 0
1430684556 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684556 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684557 || [Thread:12] || INFO || randomly chose 0
1430684557 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684557 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684558 || [Thread:12] || INFO || randomly chose 0
1430684558 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684558 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684559 || [Thread:12] || INFO || randomly chose 0
1430684559 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684559 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684560 || [Thread:12] || INFO || randomly chose 0
1430684560 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684560 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684561 || [Thread:12] || INFO || randomly chose 0
1430684561 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684561 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684562 || [Thread:12] || INFO || randomly chose 0
1430684562 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684562 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684563 || [Thread:12] || INFO || randomly chose 0
1430684563 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684563 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684564 || [Thread:12] || INFO || randomly chose 0
1430684564 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684564 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684565 || [Thread:1] || INFO || Received PRINTLOG from Master
1430684565 || [Thread:1] || INFO || log printed
1430684565 || [Thread:12] || INFO || randomly chose 0
1430684565 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684565 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684566 || [Thread:12] || INFO || randomly chose 0
1430684566 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684566 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684567 || [Thread:12] || INFO || randomly chose 0
1430684567 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684567 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684568 || [Thread:12] || INFO || randomly chose 0
1430684568 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684568 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684569 || [Thread:12] || INFO || randomly chose 0
1430684569 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684569 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684570 || [Thread:12] || INFO || randomly chose 0
1430684570 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684570 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684571 || [Thread:12] || INFO || randomly chose 0
1430684571 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684571 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684572 || [Thread:12] || INFO || randomly chose 0
1430684572 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684572 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684573 || [Thread:12] || INFO || randomly chose 0
1430684573 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684573 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_REQUEST--4;;;<2,0>=0:
1430684574 || [Thread:12] || INFO || randomly chose 0
1430684574 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
1430684575 || [Thread:12] || INFO || randomly chose 0
1430684575 || [Thread:12] || INFO || Sending Message to 0:	<2,0>--ENTROPY_REQUEST--4;;;0=2:<2,0>=0:
